wavelength,transmittance 
300,5.9090598369949E-007
301,2.0926799493282E-007
302,0.00000001
303,0.00000001
304,4.798690156349E-007
305,4.6612601067864E-007
306,5.8890901755149E-007
307,2.4520198849132E-007
308,2.3855199060563E-007
309,4.5626399014509E-007
310,1.3915099827955E-007
311,1.7775199978587E-007
312,1.423820066293E-007
313,0.00000001
314,0.00000001
315,6.0828301684523E-007
316,2.1528400395709E-007
317,1.4625300082116E-007
318,0.00000001
319,0.00000001
320,4.0746499507804E-008
321,5.7146002063746E-007
322,1.527740067786E-007
323,2.897729984852E-007
324,0.00000001
325,0.00000001
326,0.00000001
327,0.00000001
328,3.6234200706531E-007
329,0.00000001
330,3.6670701319963E-007
331,0.00000001
332,0.00000001
333,8.4439898273558E-007
334,0.00000001
335,1.490420004302E-006
336,4.7528101276839E-007
337,0.00000001
338,0.00000001
339,2.0420100099727E-007
340,0.00000001
341,0.000000555
342,0.00000001
343,9.7083204764203E-007
344,0.00000027
345,7.1585600380786E-007
346,6.7161501249302E-008
347,1.1645799986582E-006
348,0.00000001
349,0.00000001
350,2.0630200481264E-007
351,0.00000001
352,3.0616700996688E-007
353,7.6426999839896E-008
354,1.3926400299624E-007
355,1.3168099943783E-009
356,1.0418499840625E-007
357,1.7657799844528E-007
358,2.4412199195467E-007
359,1.3733300363583E-007
360,0.00000001
361,0.000000165
362,0.000000279
363,6.7256897828827E-009
364,1.0663399763189E-007
365,1.1052699733227E-007
366,0.000000098
367,0.000000146
368,9.5491799356751E-008
369,4.3337301747215E-008
370,2.2524099918542E-008
371,1.2356099432509E-007
372,7.0191596535096E-008
373,3.5527799013835E-007
374,2.8278699915063E-007
375,1.4405100046133E-007
376,2.6264200414516E-007
377,1.4049300034458E-007
378,3.1674099432166E-007
379,4.7304798300729E-008
380,4.6542201204147E-008
381,0.00000001
382,2.8505399995993E-007
383,3.204430072401E-007
384,3.6206699860486E-007
385,3.3038000424312E-007
386,0.000000192
387,1.4116800173269E-007
388,1.8767799758734E-007
389,3.6780599543818E-007
390,2.8725600031976E-007
391,0.000000394
392,1.9880999957422E-007
393,4.1947299678213E-007
394,2.7652600920192E-007
395,4.3913701119891E-007
396,3.0748100243727E-007
397,1.7931199636223E-007
398,1.9221100444611E-007
399,2.3725100106731E-007
400,1.9262400030584E-007
401,1.7421299958187E-007
402,2.728939989538E-007
403,2.8442801180972E-007
404,2.5763898747755E-007
405,0.000000313
406,4.580689960676E-007
407,2.1443500486384E-007
408,1.9547300667E-007
409,1.8343999386161E-007
410,2.5586800234123E-007
411,3.7673299857488E-007
412,2.9779801025143E-007
413,3.7639000538547E-007
414,2.856349965441E-007
415,4.6888700921954E-007
416,4.5518399360844E-007
417,4.2908899899885E-007
418,1.7934399920705E-007
419,2.4194798697863E-007
420,3.0675599305141E-007
421,3.0309598741951E-007
422,1.9291600494853E-007
423,4.950879883836E-007
424,4.0689801039662E-007
425,4.6488699467773E-007
426,7.1818999458628E-007
427,4.4860800585411E-007
428,4.6308099399539E-007
429,3.6442699524741E-007
430,2.7031501304009E-007
431,0.00000013
432,2.0633800090764E-007
433,2.12917996123E-007
434,2.9892899533479E-007
435,4.292099902159E-007
436,3.6713899476126E-007
437,5.4353500900106E-007
438,7.5009398869952E-007
439,6.394179763447E-007
440,5.5151298283818E-007
441,3.0422299346355E-007
442,2.0042800485953E-007
443,2.8167198706797E-007
444,2.6583398948787E-007
445,3.094189935382E-007
446,2.4010199695113E-007
447,3.4526598824414E-007
448,3.6684699011857E-007
449,3.9027099774103E-007
450,2.6688900334193E-007
451,2.5618800236771E-007
452,9.168110182145E-008
453,1.3138499355136E-007
454,1.1172299707596E-007
455,7.8102900147314E-008
456,1.7094800242035E-008
457,2.2705899382913E-008
458,9.8264997916431E-008
459,9.6555801576415E-008
460,7.3556101654049E-008
461,6.721190004555E-008
462,6.1762001735133E-008
463,9.5228301688621E-008
464,9.3251799171412E-008
465,7.9921498752356E-008
466,8.3429199548846E-008
467,8.4345799677976E-008
468,1.151650010911E-007
469,1.2320599296345E-007
470,6.4893797002696E-008
471,5.5200899851116E-008
472,7.4637100055952E-008
473,1.2564499662915E-008
474,6.4263602439496E-008
475,8.8519797714071E-008
476,4.0695797842716E-009
477,3.5418700861101E-008
478,8.9137699887942E-008
479,5.7491398308684E-008
480,1.3793699338294E-007
481,7.9121498686163E-008
482,3.1913000242412E-008
483,3.0172600418155E-008
484,3.7545500930491E-008
485,4.1938701400568E-008
486,4.0385199184811E-008
487,1.278060040022E-007
488,7.0567899967955E-008
489,4.1166199338249E-008
490,5.1110198739934E-008
491,6.6059101300198E-008
492,7.0180902866923E-008
493,8.8645400353471E-008
494,0.00000001
495,0.00000001
496,2.5832900263367E-008
497,6.8207597792025E-008
498,1.2572200169814E-008
499,4.1939401285163E-008
500,1.4369800283021E-007
501,6.7196197051089E-008
502,1.2950600591921E-007
503,1.0047300236238E-007
504,1.1727200188716E-007
505,1.1625199647369E-007
506,1.4006799631261E-007
507,1.3580600466412E-007
508,8.2823198965798E-008
509,1.5153399601786E-007
510,1.5871900416187E-007
511,9.6650801140186E-008
512,1.7356599357754E-007
513,1.9241799975589E-007
514,0.000000153
515,1.8132099910417E-007
516,1.5534800468231E-007
517,1.951130030875E-007
518,1.8305800608687E-007
519,1.3574900492586E-007
520,2.8011800168315E-007
521,1.9734599732146E-007
522,2.0067299999482E-007
523,2.1411699435703E-007
524,2.088430051117E-007
525,0.000000328
526,1.3131899834207E-007
527,1.0366999703137E-007
528,2.8960400300093E-007
529,1.6166100635928E-007
530,9.8091902600572E-008
