Wavelength,Excitation,Emission
300,100,0
301,98.67843185,0
302,97.31657198,0
303,96.09976228,0
304,94.81848584,0
305,93.58555945,0
306,92.40501229,0
307,91.28087352,0
308,90.1929973,0
309,89.07691688,0
310,88.04947822,0
311,87.08247713,0
312,86.02683428,0
313,85.03565817,0
314,84.13715299,0
315,83.15403521,0
316,82.26761755,0
317,81.28449978,0
318,80.48269471,0
319,79.59627705,0
320,78.79447198,0
321,77.90402514,0
322,77.19489101,0
323,76.36085257,0
324,75.55501833,0
325,74.88617591,0
326,74.1327209,0
327,73.38329506,0
328,72.43643982,0
329,71.86832669,0
330,71.11890084,0
331,70.6354003,0
332,69.74495346,0
333,69.05596519,0
334,68.55231879,0
335,67.99629316,0
336,67.31536323,0
337,66.75530843,0
338,66.14690358,0
339,65.58281961,0
340,64.93412305,0
341,64.3821266,0
342,63.81401346,0
343,63.37080463,0
344,62.83492486,0
345,62.17011161,0
346,61.63826101,0
347,61.26757726,0
348,60.75587252,0
349,60.22402192,0
350,59.76872557,0
351,59.23687497,0
352,58.82187034,0
353,58.34642814,0
354,58.05229864,0
355,57.5123897,0
356,57.15782264,0
357,56.68238043,0
358,56.12232564,0
359,55.78387526,0
360,55.36484145,0
361,54.83299085,0
362,54.47036545,0
363,54.06744833,0
364,53.70482292,0
365,53.31802248,0
366,52.85063862,0
367,52.52024659,0
368,52.17373786,0
369,51.74664571,0
370,51.32358274,0
371,51.01333656,0
372,50.59833192,0
373,50.23167734,0
374,49.91337282,0
375,49.45807647,0
376,49.20020952,0
377,48.8254966,0
378,48.48704621,0
379,48.17277086,0
380,47.75373706,0
381,47.42334502,0
382,47.07280712,0
383,46.89552359,0
384,46.52081067,0
385,46.09371852,0
386,45.76332648,0
387,45.4530803,0
388,45.07836738,0
389,44.82855877,0
390,44.49816673,0
391,44.19597889,0
392,43.90990773,0
393,43.55534067,0
394,43.30553205,0
395,43.0476651,0
396,42.76965228,0
397,42.50775615,0
398,42.11289738,0
399,41.82279705,0
400,41.54075507,0
401,41.2425964,0
402,41.00084613,0
403,40.67851243,0
404,40.39244127,0
405,40.07413675,0
406,39.76791974,0
407,39.52616947,0
408,39.21592328,0
409,38.93347838,0
410,38.64781015,0
411,38.35368065,0
412,38.09581369,0
413,37.82988839,0
414,37.55993392,0
415,37.29400862,0
416,37.0039083,0
417,36.67754543,0
418,36.40356179,0
419,36.2061324,0
420,35.87976953,0
421,35.6178734,0
422,35.33986059,0
423,35.13840203,0
424,34.8483017,0
425,34.63072646,0
426,34.36480116,0
427,34.14722592,0
428,33.83295056,0
429,33.6879004,0
430,33.35750836,0
431,32.99891212,0
432,32.78536605,0
433,32.45094484,0
434,32.19307788,0
435,32.01982352,0
436,31.77807325,0
437,31.43962287,0
438,31.20593094,0
439,30.81107216,0
440,30.63378863,0
441,30.33965913,0
442,30.10999637,0
443,29.8400419,0
444,29.57008743,0
445,29.23969539,0
446,28.92944921,0
447,28.66755308,0
448,28.35327773,0
449,28.1312704,0
450,27.86977719,0
451,27.63205609,0
452,27.28151819,0
453,27.02768041,0
454,26.70131754,0
455,26.47568395,0
456,26.19364197,0
457,25.87533744,0
458,25.62109674,0
459,25.32334099,0
460,25.03324066,0
461,24.76731536,0
462,24.44901084,0
463,24.13070631,0
464,23.78016842,0
465,23.49812644,0
466,23.18788025,0
467,22.85345904,0
468,22.46665861,0
469,22.1604416,0
470,21.76155365,0
471,21.44727829,0
472,21.06450703,0
473,20.72605665,0
474,20.37954793,0
475,20.05318506,0
476,19.75905556,0
477,19.32390507,0
478,18.94113381,0
479,18.59059591,0
480,18.26826222,0
481,17.87743261,0
482,17.49063218,0
483,17.14815263,0
484,16.78149805,0
485,16.43498932,0
486,16.09250977,0
487,15.81046779,0
488,15.43978404,0
489,15.08521697,0
490,14.7588541,0
491,14.50904549,0
492,14.27132439,0
493,13.98122406,0
494,13.66694871,0
495,13.3889359,0
496,13.11092308,0
497,12.78858939,0
498,12.57101414,0
499,12.39775978,0
500,12.1157178,0
501,11.86188001,0
502,11.64833394,0
503,11.38240864,0
504,11.28167936,0
505,11.14065837,0
506,11.00366655,0
507,10.7578871,0
508,10.520166,0
509,10.39526169,0
510,10.3106491,0
511,10.19783231,0
512,10.12530722,0
513,10.04069463,0
514,9.883556952,0
515,9.77476933,0
516,9.625689996,0
517,9.516902373,0
518,9.444377292,0
519,9.375881381,0
520,9.279181272,0
