wavelength,excitation,emission
380,0,0.53208
381,0,0.24951
382,0,0.22098
383,0,0.13546
384,0,-0.070761
385,0,0.094181
386,0,0.071163
387,0,0.26883
388,0,0.54255
389,0,0.32966
390,0,0.35865
391,0,0.28319
392,0,0.14381
393,0,-0.031815
394,0,0.88984
395,0,1.1286
396,0,1.5865
397,0,2.4285
398,0,2.7548
399,0,3.3293
400,0,4.3937
401,0,5.8643
402,0,7.5399
403,0,10.005
404,0,13.951
405,0,18.337
406,0,22.106
407,0,29.534
408,0,37.778
409,0,47.728
410,0,59.928
411,0,73.048
412,0,87.266
413,0,103.22
414,0,120.43
415,0,139.61
416,0,159.33
417,0,177
418,0,195.08
419,0,210.23
420,0,219.9
421,0,226.45
422,0,230.94
423,0,229.19
424,0,222.73
425,0,214.05
426,0,201.21
427,0,187.04
428,0,173.39
429,0,158.43
430,0,144.36
431,0,131.28
432,0,118.19
433,0,107.9
434,0,99.09
435,0,92.395
436,0,87.598
437,0,83.692
438,0,81.649
439,0,81.032
440,0,81.174
441,0,82.216
442,0,84.548
443,0,85.582
444,0,87.074
445,0,88.768
446,0,90.685
447,0,91.957
448,0,89.722
449,0,89.673
450,0,89.479
451,0,87.235
452,0,83.434
453,0,80.471
454,0,77.521
455,0,73.497
456,0,69.038
457,0,64.736
458,0,59.509
459,0,56.669
460,0,51.432
461,0,46.902
462,0,43.228
463,0,39.729
464,0,36.791
465,0,34.319
466,0,31.752
467,0,30.405
468,0,28.589
469,0,27.357
470,0,26.441
471,0,25.631
472,0,24.818
473,0,24.55
474,0,24.052
475,0,23.949
476,0,24.083
477,0,23.973
478,0,23.615
479,0,23.372
480,0,23.058
481,0,22.286
482,0,22.052
483,0,22.07
484,0,21.727
485,0,20.953
486,0,20.218
487,0,19.399
488,0,18.465
489,0,17.59
490,0,16.984
491,0,16.514
492,0,15.572
493,0,14.47
494,0,13.33
495,0,12.874
496,0,11.848
497,0,11.116
498,0,10.352
499,0,9.8842
500,0,9.0937
501,0,8.6232
502,0,8.4073
503,0,7.6996
504,0,7.7527
505,0,7.7899
506,0,7.2058
507,0,6.8078
508,0,6.549
509,0,6.2957
510,0,6.3055
511,0,6.1685
512,0,5.9488
513,0,5.7401
514,0,5.7326
515,0,5.4957
516,0,5.1778
517,0,4.8059
518,0,4.7964
519,0,4.6065
520,0,4.0689
521,0,4.2463
522,0,4.2546
523,0,4.1573
524,0,4.0598
525,0,3.6866
526,0,3.1757
527,0,3.0326
528,0,3.2304
529,0,3.3405
530,0,3.3002
531,0,3.2771
532,0,3.0006
533,0,3.2444
534,0,3.0487
535,0,3.1456
536,0,2.9608
537,0,2.8222
538,0,2.6113
539,0,2.1847
540,0,2.0634
541,0,2.2055
542,0,1.9654
543,0,1.7255
544,0,1.3143
545,0,1.4469
546,0,1.4739
547,0,1.2147
548,0,1.3315
549,0,0.77218
550,0,0.76006
551,0,0.98722
552,0,1.0791
553,0,1.0198
554,0,0.88258
555,0,1.2563
556,0,1.2708
557,0,1.3215
558,0,1.3522
559,0,1.182
560,0,1.199
561,0,1.3178
562,0,1.3363
563,0,1.2473
564,0,1.1851
565,0,1.0577
566,0,1.1333
567,0,0.98825
568,0,1.2474
569,0,1.2179
570,0,1.2153
571,0,1.1293
572,0,1.1726
573,0,1.257
574,0,1.4442
575,0,1.1851
576,0,1.1307
577,0,1.0091
578,0,1.2805
579,0,1.2252
580,0,1.1983
581,0,1.1231
582,0,1.1392
583,0,1.2477
584,0,1.2496
585,0,1.0597
586,0,1.0487
587,0,1.3733
588,0,1.0048
589,0,0.84846
590,0,1.372
591,0,1.4174
592,0,1.4757
593,0,1.3057
594,0,1.5014
595,0,1.3615
596,0,1.184
597,0,1.3867
598,0,1.662
599,0,1.6444
600,0,1.3956
601,0,1.3647
602,0,1.1463
603,0,1.3801
604,0,1.5953
605,0,1.0543
606,0,0.74221
607,0,1.1139
608,0,1.0653
609,0,1.3531
610,0,1.4166
611,0,1.379
612,0,1.281
613,0,1.4334
614,0,1.3756
615,0,1.0878
616,0,1.1056
617,0,1.4194
618,0,1.2667
619,0,1.0482
620,0,1.582
621,0,1.4784
622,0,1.0285
623,0,1.0687
624,0,1.1989
625,0,1.4067
626,0,1.2557
627,0,1.4335
628,0,1.2237
629,0,0.90185
630,0,0.87125
631,0,1.4664
632,0,1.6576
633,0,1.333
634,0,1.5173
635,0,1.8544
636,0,1.4884
637,0,1.1671
638,0,1.5824
639,0,1.2131
640,0,1.194
641,0,1.2829
642,0,1.6438
643,0,1.4928
644,0,1.5265
645,0,1.6119
646,0,1.586
647,0,1.3481
648,0,1.4461
649,0,1.4754
650,0,1.3873
651,0,1.4983
