x,y (normalized)
300,NaN
301,NaN
302,NaN
303,NaN
304,NaN
305,NaN
306,NaN
307,NaN
308,NaN
309,NaN
310,NaN
311,NaN
312,NaN
313,NaN
314,NaN
315,NaN
316,NaN
317,NaN
318,NaN
319,NaN
320,NaN
321,NaN
322,NaN
323,NaN
324,NaN
325,NaN
326,NaN
327,NaN
328,NaN
329,NaN
330,NaN
331,NaN
332,NaN
333,NaN
334,NaN
335,NaN
336,NaN
337,NaN
338,NaN
339,NaN
340,NaN
341,NaN
342,NaN
343,NaN
344,NaN
345,NaN
346,NaN
347,NaN
348,NaN
349,NaN
350,NaN
351,NaN
352,NaN
353,NaN
354,NaN
355,NaN
356,NaN
357,NaN
358,NaN
359,NaN
360,NaN
361,NaN
362,NaN
363,NaN
364,NaN
365,NaN
366,NaN
367,NaN
368,NaN
369,NaN
370,NaN
371,NaN
372,NaN
373,NaN
374,NaN
375,NaN
376,NaN
377,NaN
378,NaN
379,NaN
380,NaN
381,NaN
382,NaN
383,NaN
384,NaN
385,NaN
386,NaN
387,NaN
388,NaN
389,NaN
390,NaN
391,NaN
392,NaN
393,NaN
394,NaN
395,NaN
396,NaN
397,NaN
398,NaN
399,NaN
400,NaN
401,NaN
402,NaN
403,NaN
404,NaN
405,NaN
406,NaN
407,NaN
408,NaN
409,NaN
410,NaN
411,NaN
412,NaN
413,NaN
414,NaN
415,NaN
416,NaN
417,NaN
418,NaN
419,NaN
420,NaN
421,NaN
422,NaN
423,NaN
424,NaN
425,NaN
426,NaN
427,NaN
428,NaN
429,NaN
430,NaN
431,NaN
432,NaN
433,NaN
434,NaN
435,NaN
436,NaN
437,NaN
438,NaN
439,NaN
440,NaN
441,NaN
442,NaN
443,NaN
444,NaN
445,NaN
446,NaN
447,NaN
448,NaN
449,NaN
450,NaN
451,NaN
452,NaN
453,NaN
454,NaN
455,NaN
456,NaN
457,NaN
458,NaN
459,NaN
460,NaN
461,NaN
462,NaN
463,NaN
464,NaN
465,NaN
466,NaN
467,NaN
468,NaN
469,NaN
470,NaN
471,NaN
472,NaN
473,NaN
474,NaN
475,NaN
476,NaN
477,NaN
478,NaN
479,NaN
480,NaN
481,NaN
482,NaN
483,NaN
484,NaN
485,NaN
486,NaN
487,NaN
488,NaN
489,NaN
490,NaN
491,NaN
492,NaN
493,NaN
494,NaN
495,NaN
496,NaN
497,NaN
498,NaN
499,NaN
500,NaN
501,0.090334
502,0.090334
503,0.090334
504,0.090334
505,0.091238
506,0.092141
507,0.092141
508,0.09295
509,0.093044
510,0.094851
511,0.095303
512,0.096206
513,0.097109
514,0.097818
515,0.10072
516,0.10234
517,0.10388
518,0.1075
519,0.10959
520,0.11359
521,0.1164
522,0.12081
523,0.12515
524,0.13115
525,0.13654
526,0.14618
527,0.15426
528,0.16652
529,0.17694
530,0.19077
531,0.20678
532,0.22294
533,0.24505
534,0.26564
