x, y
700,NaN
701,NaN
702,NaN
703,NaN
704,NaN
705,NaN
706,NaN
707,NaN
708,NaN
709,NaN
710,NaN
711,18.424
712,18.313
713,18.399
714,18.771
715,19.127
716,19.484
717,19.841
718,20.198
719,20.555
720,20.93
721,21.316
722,21.646
723,22.092
724,22.504
725,22.92
726,23.384
727,23.796
728,24.263
729,24.675
730,25.114
731,25.555
732,25.917
733,26.054
734,26.192
735,26.329
736,26.411
737,26.549
738,26.686
739,26.768
740,26.905
741,27.043
742,27.196
743,27.47
744,27.69
745,27.964
746,28.184
747,28.42
748,28.678
749,28.897
750,29.164
751,29.357
752,29.433
753,29.433
754,29.437
755,29.569
756,29.541
757,29.544
758,29.544
759,29.599
760,29.599
761,29.679
762,29.761
763,29.843
764,29.981
765,30.063
766,30.145
767,30.263
768,30.364
769,30.446
770,30.528
771,30.971
772,30.842
773,30.94
774,31.118
775,31.27
776,31.408
777,31.545
778,31.683
779,31.82
780,31.957
781,32.211
782,32.431
783,32.706
784,32.925
785,33.197
786,33.419
787,33.639
788,33.913
789,34.025
790,33.481
791,32.932
792,32.438
793,31.888
794,31.339
795,30.844
796,30.295
797,29.746
798,29.269
799,28.957
800,28.682
801,28.407
802,28.147
803,27.913
804,27.638
805,27.364
806,27.089
807,26.814
808,26.531
809,26.119
810,25.762
811,25.35
812,24.994
813,24.582
814,24.225
815,23.813
816,23.456
817,23.044
818,22.795
819,22.658
820,22.465
821,22.328
822,22.135
823,21.998
824,21.805
825,21.668
826,21.484
827,21.338
828,21.156
829,21.008
830,20.828
831,20.663
832,20.485
833,20.28
834,20.099
835,19.896
836,19.677
837,19.513
838,19.294
839,19.13
840,18.943
841,18.87
842,18.921
843,18.976
844,19.032
845,19.087
846,19.142
847,19.197
848,19.223
849,19.253
850,19.308
851,19.364
852,19.364
853,19.419
854,19.419
855,19.466
856,19.474
857,19.519
858,19.53
859,19.53
860,19.585
861,19.681
862,19.806
863,19.901
864,20.038
865,20.175
866,20.257
867,20.395
868,20.532
869,20.636
870,20.756
871,21.031
872,21.306
873,21.581
874,21.911
875,22.185
876,22.46
877,22.761
878,23.065
879,23.34
880,23.614
881,24.022
882,24.385
883,24.791
884,25.203
885,25.559
886,25.971
887,26.328
888,26.74
889,27.097
890,27.372
891,27.454
892,27.552
893,27.663
894,27.755
895,27.837
896,27.939
897,28.05
898,28.139
899,28.216
900,28.216
901,28.216
902,28.216
903,28.216
904,28.216
905,28.216
906,28.216
907,28.216
908,28.216
909,28.216
910,28.293
911,28.326
912,28.382
913,28.437
914,28.492
915,28.537
916,28.564
917,28.646
918,28.644
919,28.506
920,28.369
921,28.271
922,28.15
923,28.012
924,27.884
925,27.793
926,27.656
927,27.518
928,27.381
929,27.188
930,27.048
931,26.858
932,26.665
933,26.528
934,26.335
935,26.198
936,26.005
937,25.892
938,25.837
939,25.837
940,25.788
941,25.781
942,25.734
943,25.726
944,25.726
945,25.671
946,25.671
947,25.671
948,25.726
949,25.837
950,25.932
951,26.014
952,26.096
953,26.178
954,26.26
955,26.342
956,26.445
957,26.556
958,26.643
959,26.725
960,26.807
961,26.889
962,27.027
963,27.109
964,27.191
965,27.275
966,27.41
967,27.492
968,27.574
969,27.712
970,27.773
971,27.82
972,27.884
973,27.929
974,27.956
975,27.994
976,28.05
977,28.105
978,28.16
979,27.986
980,27.519
981,27.107
982,26.639
983,26.227
984,25.808
985,25.348
986,24.93
987,24.468
988,24.056
989,23.644
990,23.232
991,22.82
992,22.408
993,21.995
994,21.583
995,21.171
996,20.759
997,20.347
998,19.836
999,19.205
1000,18.573
1001,17.961
1002,17.31
1003,16.696
1004,16.047
1005,15.431
1006,14.826
1007,14.166
1008,13.767
1009,13.41
1010,13.054
1011,12.697
1012,12.321
1013,11.935
1014,11.605
1015,11.22
1016,10.858
1017,10.508
1018,10.315
1019,10.123
1020,9.9301
1021,9.7375
1022,9.5447
1023,9.354
1024,9.1593
1025,8.9706
1026,8.7739
1027,8.5318
1028,8.1808
1029,7.8716
1030,7.5226
1031,7.1659
1032,6.8262
1033,6.4961
1034,6.1661
1035,5.836
1036,5.5059
1037,5.4772
1038,NaN
1039,NaN
1040,NaN
1041,NaN
1042,NaN
1043,NaN
1044,NaN
1045,NaN
1046,NaN
1047,NaN
1048,NaN
1049,NaN
1050,NaN
1051,NaN
1052,NaN
1053,NaN
1054,NaN
1055,NaN
1056,NaN
1057,NaN
1058,NaN
1059,NaN
1060,NaN
1061,NaN
1062,NaN
1063,NaN
1064,NaN
1065,NaN
1066,NaN
1067,NaN
1068,NaN
1069,NaN
1070,NaN
1071,NaN
1072,NaN
1073,NaN
1074,NaN
1075,NaN
1076,NaN
1077,NaN
1078,NaN
1079,NaN
1080,NaN
1081,NaN
1082,NaN
1083,NaN
1084,NaN
1085,NaN
1086,NaN
1087,NaN
1088,NaN
1089,NaN
1090,NaN
1091,NaN
1092,NaN
1093,NaN
1094,NaN
1095,NaN
1096,NaN
1097,NaN
1098,NaN
1099,NaN
1100,NaN
