x, Y (quantum efficiency%)
300,5.8184
301,5.8184
302,6.1137
303,6.409
304,6.7043
305,6.9996
306,7.2949
307,7.5902
308,7.8418
309,7.9402
310,8.0386
311,8.4436
312,8.9181
313,9.4872
314,10.194
315,10.9
316,11.512
317,12.124
318,12.654
319,13.128
320,13.581
321,13.945
322,14.309
323,14.61
324,14.893
325,15.156
326,15.385
327,15.614
328,15.819
329,16.023
330,16.223
331,16.42
332,16.617
333,16.814
334,17.011
335,17.28
336,17.576
337,17.937
338,18.429
339,18.921
340,19.595
341,20.284
342,20.769
343,21.065
344,21.36
345,21.655
346,21.95
347,22.315
348,22.709
349,23.102
350,23.496
351,23.89
352,24.371
353,24.863
354,25.308
355,25.702
356,26.096
357,26.489
358,26.883
359,27.277
360,27.67
361,28.064
362,28.458
363,28.852
364,29.245
365,29.639
366,29.945
367,30.142
368,30.339
369,30.536
370,30.733
371,30.93
372,31.127
373,31.389
374,31.881
375,32.373
376,32.545
377,32.643
378,32.782
379,32.978
380,33.175
381,33.372
382,33.569
383,33.766
384,33.963
385,34.16
386,34.357
387,34.553
388,34.75
389,34.947
390,35.18
391,35.476
392,35.771
393,35.877
394,35.975
395,36.128
396,36.325
397,36.522
398,36.719
399,36.916
400,37.113
401,37.31
402,37.506
403,37.703
404,37.9
405,38.006
406,38.104
407,38.203
408,38.301
409,38.41
410,38.607
411,38.804
412,39.001
413,39.198
414,39.395
415,39.592
416,39.789
417,39.985
418,40.182
419,40.332
420,40.43
421,40.529
422,40.627
423,40.725
424,40.89
425,41.086
426,41.283
427,41.48
428,41.677
429,41.706
430,41.706
431,41.794
432,41.991
433,42.191
434,42.486
435,42.782
436,42.829
437,42.731
438,42.698
439,42.895
440,43.092
441,43.288
442,43.485
443,43.642
444,43.74
445,43.839
446,43.937
447,44.036
448,44.192
449,44.389
450,44.55
451,44.55
452,44.55
453,44.703
454,44.9
455,45.024
456,45.024
457,45.024
458,45.118
459,45.217
460,45.425
461,45.72
462,45.957
463,45.859
464,45.76
465,45.808
466,45.906
467,45.972
468,45.972
469,45.972
470,46.063
471,46.161
472,46.209
473,46.209
474,46.209
475,46.209
476,46.209
477,46.209
478,46.209
479,46.209
480,46.209
481,46.209
482,46.209
483,46.209
484,46.209
485,46.209
486,46.209
487,46.209
488,46.209
489,46.274
490,46.373
491,46.445
492,46.445
493,46.445
494,46.445
495,46.445
496,46.402
497,46.303
498,46.209
499,46.209
500,46.209
501,46.209
502,46.209
503,46.187
504,46.088
505,45.99
506,45.972
507,45.972
508,45.931
509,45.833
510,45.735
511,45.735
512,45.735
513,45.735
514,45.735
515,45.716
516,45.618
517,45.52
518,45.498
519,45.498
520,45.461
521,45.363
522,45.264
523,45.261
524,45.261
525,45.206
526,45.108
527,45.024
528,45.024
529,45.024
530,44.878
531,44.681
532,44.517
533,44.419
534,44.32
535,44.222
536,44.123
537,43.974
538,43.777
539,43.58
540,43.383
541,43.186
542,42.989
543,42.793
544,42.537
545,42.144
546,41.75
547,41.531
548,41.334
549,41.137
550,40.941
551,40.744
552,40.547
553,40.35
554,40.153
555,39.956
556,39.734
557,39.439
558,39.143
559,39.016
560,38.917
561,38.775
562,38.578
563,38.385
564,38.287
565,38.188
566,38.09
567,37.991
568,37.871
569,37.674
570,37.477
571,37.361
572,37.262
573,37.164
574,37.065
575,36.967
576,36.77
577,36.573
578,36.435
579,36.336
580,36.238
581,36.139
582,36.041
583,35.866
584,35.669
585,35.472
586,35.275
587,35.078
588,35.071
589,35.071
590,34.962
591,34.765
592,34.568
593,34.371
594,34.174
595,33.977
596,33.781
597,33.584
598,33.387
599,33.19
600,32.993
601,32.796
602,32.599
603,32.402
604,32.206
605,32.009
606,31.812
607,31.754
608,31.754
609,31.695
610,31.498
611,31.301
612,30.93
613,30.536
614,30.237
615,30.04
616,29.843
617,29.646
618,29.45
619,29.253
620,29.056
621,28.782
622,28.29
623,27.798
624,27.306
625,26.814
626,26.278
627,25.687
628,25.104
629,24.71
630,24.316
631,23.985
632,23.689
633,23.372
634,22.978
635,22.585
636,21.87
637,21.083
638,20.416
639,19.923
640,19.431
641,18.939
642,18.447
643,18.071
644,17.776
645,17.444
646,16.952
647,16.46
648,16.198
649,16.001
650,15.403
651,14.123
652,12.844
653,12.417
654,12.023
655,11.848
656,11.848
657,11.615
658,10.04
659,8.4652
660,7.6923
661,7.2001
662,6.7736
663,6.4783
664,6.183
665,5.6143
666,5.0237
667,4.4841
668,3.992
669,3.5217
670,3.2264
671,2.9311
672,2.5665
673,2.1728
674,1.8374
675,1.6405
676,1.4437
677,1.2468
678,1.0499
679,0.85308
680,0.65622
681,NaN
682,NaN
683,NaN
684,NaN
685,NaN
686,NaN
687,NaN
688,NaN
689,NaN
690,NaN
691,NaN
692,NaN
693,NaN
694,NaN
695,NaN
696,NaN
697,NaN
698,NaN
699,NaN
700,NaN
701,NaN
702,NaN
703,NaN
704,NaN
705,NaN
706,NaN
707,NaN
708,NaN
709,NaN
710,NaN
711,NaN
712,NaN
713,NaN
714,NaN
715,NaN
716,NaN
717,NaN
718,NaN
719,NaN
720,NaN
721,NaN
722,NaN
723,NaN
724,NaN
725,NaN
726,NaN
727,NaN
728,NaN
729,NaN
730,NaN
731,NaN
732,NaN
733,NaN
734,NaN
735,NaN
736,NaN
737,NaN
738,NaN
739,NaN
740,NaN
741,NaN
742,NaN
743,NaN
744,NaN
745,NaN
746,NaN
747,NaN
748,NaN
749,NaN
750,NaN
751,NaN
752,NaN
753,NaN
754,NaN
755,NaN
756,NaN
757,NaN
758,NaN
759,NaN
760,NaN
761,NaN
762,NaN
763,NaN
764,NaN
765,NaN
766,NaN
767,NaN
768,NaN
769,NaN
770,NaN
771,NaN
772,NaN
773,NaN
774,NaN
775,NaN
776,NaN
777,NaN
778,NaN
779,NaN
780,NaN
781,NaN
782,NaN
783,NaN
784,NaN
785,NaN
786,NaN
787,NaN
788,NaN
789,NaN
790,NaN
791,NaN
792,NaN
793,NaN
794,NaN
795,NaN
796,NaN
797,NaN
798,NaN
799,NaN
800,NaN
801,NaN
802,NaN
803,NaN
804,NaN
805,NaN
806,NaN
807,NaN
808,NaN
809,NaN
810,NaN
811,NaN
812,NaN
813,NaN
814,NaN
815,NaN
816,NaN
817,NaN
818,NaN
819,NaN
820,NaN
821,NaN
822,NaN
823,NaN
824,NaN
825,NaN
826,NaN
827,NaN
828,NaN
829,NaN
830,NaN
831,NaN
832,NaN
833,NaN
834,NaN
835,NaN
836,NaN
837,NaN
838,NaN
839,NaN
840,NaN
841,NaN
842,NaN
843,NaN
844,NaN
845,NaN
846,NaN
847,NaN
848,NaN
849,NaN
850,NaN
851,NaN
852,NaN
853,NaN
854,NaN
855,NaN
856,NaN
857,NaN
858,NaN
859,NaN
860,NaN
861,NaN
862,NaN
863,NaN
864,NaN
865,NaN
866,NaN
867,NaN
868,NaN
869,NaN
870,NaN
871,NaN
872,NaN
873,NaN
874,NaN
875,NaN
876,NaN
877,NaN
878,NaN
879,NaN
880,NaN
881,NaN
882,NaN
883,NaN
884,NaN
885,NaN
886,NaN
887,NaN
888,NaN
889,NaN
890,NaN
891,NaN
892,NaN
893,NaN
894,NaN
895,NaN
896,NaN
897,NaN
898,NaN
899,NaN
900,NaN
901,NaN
902,NaN
903,NaN
904,NaN
905,NaN
906,NaN
907,NaN
908,NaN
909,NaN
910,NaN
911,NaN
912,NaN
913,NaN
914,NaN
915,NaN
916,NaN
917,NaN
918,NaN
919,NaN
920,NaN
921,NaN
922,NaN
923,NaN
924,NaN
925,NaN
926,NaN
927,NaN
928,NaN
929,NaN
930,NaN
931,NaN
932,NaN
933,NaN
934,NaN
935,NaN
936,NaN
937,NaN
938,NaN
939,NaN
940,NaN
941,NaN
942,NaN
943,NaN
944,NaN
945,NaN
946,NaN
947,NaN
948,NaN
949,NaN
950,NaN
951,NaN
952,NaN
953,NaN
954,NaN
955,NaN
956,NaN
957,NaN
958,NaN
959,NaN
960,NaN
961,NaN
962,NaN
963,NaN
964,NaN
965,NaN
966,NaN
967,NaN
968,NaN
969,NaN
970,NaN
971,NaN
972,NaN
973,NaN
974,NaN
975,NaN
976,NaN
977,NaN
978,NaN
979,NaN
980,NaN
981,NaN
982,NaN
983,NaN
984,NaN
985,NaN
986,NaN
987,NaN
988,NaN
989,NaN
990,NaN
991,NaN
992,NaN
993,NaN
994,NaN
995,NaN
996,NaN
997,NaN
998,NaN
999,NaN
1000,NaN
1001,NaN
1002,NaN
1003,NaN
1004,NaN
1005,NaN
1006,NaN
1007,NaN
1008,NaN
1009,NaN
1010,NaN
1011,NaN
1012,NaN
1013,NaN
1014,NaN
1015,NaN
1016,NaN
1017,NaN
1018,NaN
1019,NaN
1020,NaN
1021,NaN
1022,NaN
1023,NaN
1024,NaN
1025,NaN
1026,NaN
1027,NaN
1028,NaN
1029,NaN
1030,NaN
1031,NaN
1032,NaN
1033,NaN
1034,NaN
1035,NaN
1036,NaN
1037,NaN
1038,NaN
1039,NaN
1040,NaN
1041,NaN
1042,NaN
1043,NaN
1044,NaN
1045,NaN
1046,NaN
1047,NaN
1048,NaN
1049,NaN
1050,NaN
1051,NaN
1052,NaN
1053,NaN
1054,NaN
1055,NaN
1056,NaN
1057,NaN
1058,NaN
1059,NaN
1060,NaN
1061,NaN
1062,NaN
1063,NaN
1064,NaN
1065,NaN
1066,NaN
1067,NaN
1068,NaN
1069,NaN
1070,NaN
1071,NaN
1072,NaN
1073,NaN
1074,NaN
1075,NaN
1076,NaN
1077,NaN
1078,NaN
1079,NaN
1080,NaN
1081,NaN
1082,NaN
1083,NaN
1084,NaN
1085,NaN
1086,NaN
1087,NaN
1088,NaN
1089,NaN
1090,NaN
