x, y (quantum efficiency%)
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0.16624
371,0.89683
372,1.1921
373,1.4218
374,1.4218
375,1.4218
376,1.5822
377,1.7791
378,1.8556
379,1.7572
380,1.6588
381,1.9541
382,2.2494
383,2.3113
384,2.2129
385,2.1874
386,2.4827
387,2.778
388,2.767
389,2.6686
390,2.6431
391,2.7415
392,2.84
393,3.0332
394,3.23
395,3.4269
396,3.6238
397,3.7769
398,3.6785
399,3.58
400,3.6274
401,3.7258
402,3.8571
403,4.054
404,4.2508
405,4.2654
406,4.2654
407,4.3675
408,4.5643
409,4.7284
410,4.63
411,4.5315
412,4.7102
413,5.0055
414,5.1841
415,5.0857
416,4.9872
417,5.2388
418,5.5341
419,5.6398
420,5.5414
421,5.4721
422,5.7674
423,6.0627
424,6.0955
425,5.9971
426,5.9497
427,6.0481
428,6.1466
429,6.245
430,6.3434
431,6.4419
432,6.5403
433,6.6387
434,6.7371
435,6.8356
436,6.872
437,6.872
438,6.8939
439,6.9923
440,7.0908
441,7.1892
442,7.2876
443,7.3861
444,7.4845
445,7.5829
446,7.6814
447,7.7798
448,7.8782
449,7.9767
450,8.0751
451,8.1735
452,8.272
453,8.3704
454,8.4688
455,8.5673
456,8.6657
457,8.7641
458,8.673
459,8.5746
460,8.7495
461,9.1433
462,9.4641
463,9.3657
464,9.2672
465,9.3146
466,9.4131
467,9.5115
468,9.6099
469,9.7083
470,9.8068
471,9.9052
472,9.9526
473,9.9526
474,9.9526
475,9.9526
476,9.9526
477,10.23
478,10.623
479,10.871
480,10.773
481,10.674
482,10.751
483,10.849
484,10.9
485,10.9
486,10.93
487,11.323
488,11.717
489,11.717
490,11.52
491,11.4
492,11.498
493,11.597
494,11.611
495,11.611
496,11.595
497,11.558
498,11.522
499,11.516
500,11.51
501,11.525
502,11.551
503,11.586
504,11.646
505,11.706
506,11.794
507,11.889
508,11.999
509,12.129
510,12.26
511,12.427
512,12.594
513,12.784
514,12.989
515,13.202
516,13.446
517,13.69
518,13.897
519,14.094
520,14.182
521,14.083
522,13.985
523,13.981
524,13.981
525,14.145
526,14.44
527,14.692
528,14.692
529,14.692
530,14.838
531,15.035
532,15.133
533,15.035
534,14.936
535,14.929
536,14.929
537,15.082
538,15.377
539,15.629
540,15.53
541,15.432
542,15.403
543,15.403
544,15.432
545,15.53
546,15.629
547,15.64
548,15.64
549,15.735
550,15.931
551,16.114
552,16.114
553,16.114
554,16.245
555,16.442
556,16.588
557,16.588
558,16.588
559,16.755
560,16.952
561,17.018
562,16.919
563,16.828
564,16.927
565,17.025
566,17.186
567,17.382
568,17.514
569,17.415
570,17.317
571,17.299
572,17.299
573,17.419
574,17.714
575,18.009
576,17.911
577,17.813
578,17.773
579,17.773
580,17.791
581,17.889
582,17.988
583,18.086
584,18.184
585,18.246
586,18.246
587,18.246
588,18.246
589,18.246
590,18.246
591,18.246
592,18.246
593,18.246
594,18.246
595,18.246
596,18.246
597,18.246
598,18.246
599,18.246
600,18.246
601,18.246
602,18.247
603,18.248
604,18.248
605,18.249
606,18.25
607,18.251
608,18.251
609,18.25
610,18.248
611,18.247
612,18.246
613,18.246
614,18.255
615,18.273
616,18.292
617,18.323
618,18.353
619,18.384
620,18.415
621,18.442
622,18.462
623,18.481
624,18.483
625,18.483
626,18.48
627,18.471
628,18.462
629,18.452
630,18.442
631,18.435
632,18.429
633,18.425
634,18.429
635,18.432
636,18.448
637,18.467
638,18.494
639,18.532
640,18.571
641,18.636
642,18.701
643,18.784
644,18.879
645,18.976
646,19.074
647,19.172
648,19.194
649,19.194
650,19.194
651,19.194
652,19.194
653,19.194
654,19.194
655,19.085
656,18.888
657,18.706
658,18.607
659,18.509
660,18.448
661,18.401
662,18.362
663,18.341
664,18.32
665,18.339
666,18.362
667,18.416
668,18.499
669,18.59
670,18.75
671,18.91
672,19.117
673,19.345
674,19.558
675,19.737
676,19.915
677,19.924
678,19.912
679,19.81
680,19.614
681,19.431
682,19.431
683,19.431
684,19.431
685,19.431
686,19.457
687,19.555
688,19.654
689,19.668
690,19.668
691,19.651
692,19.613
693,19.574
694,19.534
695,19.493
696,19.453
697,19.413
698,19.375
699,19.34
700,19.304
701,19.276
702,19.248
703,19.225
704,19.209
705,19.192
706,19.19
707,19.188
708,19.196
709,19.211
710,19.23
711,19.267
712,19.303
713,19.358
714,19.418
715,19.489
716,19.577
717,19.665
718,19.763
719,19.861
720,19.905
721,19.905
722,19.876
723,19.679
724,19.482
725,19.285
726,19.089
727,18.957
728,18.957
729,18.957
730,18.957
731,18.957
732,18.932
733,18.882
734,18.843
735,18.893
736,18.943
737,19.096
738,19.293
739,19.431
740,19.431
741,19.431
742,19.344
743,19.245
744,19.147
745,19.048
746,18.95
747,18.852
748,18.753
749,18.72
750,18.72
751,18.669
752,18.472
753,18.276
754,18.163
755,18.064
756,18.009
757,18.009
758,18.006
759,17.907
760,17.809
761,17.773
762,17.773
763,17.773
764,17.773
765,17.773
766,17.692
767,17.594
768,17.495
769,17.397
770,17.299
771,17.102
772,16.905
773,16.766
774,16.668
775,16.551
776,16.354
777,16.157
778,16.037
779,15.939
780,15.804
781,15.607
782,15.41
783,15.118
784,14.823
785,14.528
786,14.233
787,13.937
788,13.642
789,13.347
790,12.978
791,12.585
792,12.191
793,11.797
794,11.404
795,10.828
796,10.237
797,9.7485
798,9.3547
799,8.961
800,8.5673
801,8.1735
802,7.7798
803,7.3861
804,6.9923
805,6.5986
806,6.2049
807,5.8112
808,5.4174
809,5.1185
810,4.9216
811,4.7102
812,4.3164
813,3.9227
814,3.529
815,3.1353
816,2.7926
817,2.5957
818,2.3988
819,2.202
820,2.0051
821,1.7207
822,1.327
823,0.94058
824,0.74371
825,0.54685
826,0.47393
827,0.47393
828,0.45206
829,0.35363
830,0.2552
831,0.23697
832,0.23697
833,0.23697
834,0.23697
835,0.23697
836,0.13853
837,0.040102
838,0
839,0
840,0
841,NaN
842,NaN
843,NaN
844,NaN
845,NaN
846,NaN
847,NaN
848,NaN
849,NaN
850,NaN
851,NaN
852,NaN
853,NaN
854,NaN
855,NaN
856,NaN
857,NaN
858,NaN
859,NaN
860,NaN
861,NaN
862,NaN
863,NaN
864,NaN
865,NaN
866,NaN
867,NaN
868,NaN
869,NaN
870,NaN
871,NaN
872,NaN
873,NaN
874,NaN
875,NaN
876,NaN
877,NaN
878,NaN
879,NaN
880,NaN
881,NaN
882,NaN
883,NaN
884,NaN
885,NaN
886,NaN
887,NaN
888,NaN
889,NaN
890,NaN
891,NaN
892,NaN
893,NaN
894,NaN
895,NaN
896,NaN
897,NaN
898,NaN
899,NaN
900,NaN
901,NaN
902,NaN
903,NaN
904,NaN
905,NaN
906,NaN
907,NaN
908,NaN
909,NaN
910,NaN
911,NaN
912,NaN
913,NaN
914,NaN
915,NaN
916,NaN
917,NaN
918,NaN
919,NaN
920,NaN
921,NaN
922,NaN
923,NaN
924,NaN
925,NaN
926,NaN
927,NaN
928,NaN
929,NaN
930,NaN
931,NaN
932,NaN
933,NaN
934,NaN
935,NaN
936,NaN
937,NaN
938,NaN
939,NaN
940,NaN
941,NaN
942,NaN
943,NaN
944,NaN
945,NaN
946,NaN
947,NaN
948,NaN
949,NaN
950,NaN
951,NaN
952,NaN
953,NaN
954,NaN
955,NaN
956,NaN
957,NaN
958,NaN
959,NaN
960,NaN
961,NaN
962,NaN
963,NaN
964,NaN
965,NaN
966,NaN
967,NaN
968,NaN
969,NaN
970,NaN
971,NaN
972,NaN
973,NaN
974,NaN
975,NaN
976,NaN
977,NaN
978,NaN
979,NaN
980,NaN
981,NaN
982,NaN
983,NaN
984,NaN
